value
8478
6313
6484
5790
4635
4778
4887
5964
7524
9224
12053
13890
14497
14279
14817
16871
16007
14535
13446
12680
10888
11467
10887
10933
8767
8103
7346
4913
4432
4719
5303
6475
9321
10678
13282
12914
15334
16257
17360
17008
18059
16428
14304
13615
11099
11030
10409
10263
9174
7961
6815
5236
5218
4884
4824
6664
8894
10540
13034
14460
15823
16416
18085
17606
17229
15169
15560
13648
12482
12397
11146
10176
8833
5943
6631
6009
5786
4968
5071
5807
8716
10755
12655
15307
15398
15457
15672
16309
16325
15067
14577
12313
11021
10056
10626
10181
10082
8098
7054
6296
4800
4394
4281
7042
8642
12064
14092
14962
15905
16083
17197
18435
17158
15616
13946
12715
10423
10662
10310
8449
